idx,id,name,role,movie_title,movie_id
1,1104,Frank Darabont,Director,The Shawshank Redemption,111161
2,175,Stephen King,Writer,The Shawshank Redemption,111161
3,1104,Frank Darabont,Writer,The Shawshank Redemption,111161
4,209,Tim Robbins,Star,The Shawshank Redemption,111161
5,151,Morgan Freeman,Star,The Shawshank Redemption,111161
6,348409,Bob Gunton,Star,The Shawshank Redemption,111161
7,338,Francis Ford Coppola,Director,The Godfather,68646
8,701374,Mario Puzo,Writer,The Godfather,68646
9,338,Francis Ford Coppola,Writer,The Godfather,68646
10,8,Marlon Brando,Star,The Godfather,68646
11,199,Al Pacino,Star,The Godfather,68646
12,1001,James Caan,Star,The Godfather,68646
13,634240,Christopher Nolan,Director,The Dark Knight,468569
14,634300,Jonathan Nolan,Writer,The Dark Knight,468569
15,634240,Christopher Nolan,Writer,The Dark Knight,468569
16,275286,David S. Goyer,Writer,The Dark Knight,468569
17,288,Christian Bale,Star,The Dark Knight,468569
18,5132,Heath Ledger,Star,The Dark Knight,468569
19,1173,Aaron Eckhart,Star,The Dark Knight,468569
20,338,Francis Ford Coppola,Director,The Godfather Part II,71562
21,338,Francis Ford Coppola,Writer,The Godfather Part II,71562
22,701374,Mario Puzo,Writer,The Godfather Part II,71562
23,199,Al Pacino,Star,The Godfather Part II,71562
24,134,Robert De Niro,Star,The Godfather Part II,71562
25,380,Robert Duvall,Star,The Godfather Part II,71562
26,1486,Sidney Lumet,Director,12 Angry Men,50083
27,741627,Reginald Rose,Writer,12 Angry Men,50083
28,20,Henry Fonda,Star,12 Angry Men,50083
29,2011,Lee J. Cobb,Star,12 Angry Men,50083
30,842,Martin Balsam,Star,12 Angry Men,50083
31,1392,Peter Jackson,Director,The Lord of the Rings: The Return of the King,167260
32,866058,J.R.R. Tolkien,Writer,The Lord of the Rings: The Return of the King,167260
33,909638,Fran Walsh,Writer,The Lord of the Rings: The Return of the King,167260
34,101991,Philippa Boyens,Writer,The Lord of the Rings: The Return of the King,167260
35,704,Elijah Wood,Star,The Lord of the Rings: The Return of the King,167260
36,1557,Viggo Mortensen,Star,The Lord of the Rings: The Return of the King,167260
37,5212,Ian McKellen,Star,The Lord of the Rings: The Return of the King,167260
38,229,Steven Spielberg,Director,Schindler's List,108052
39,447745,Thomas Keneally,Writer,Schindler's List,108052
40,1873,Steven Zaillian,Writer,Schindler's List,108052
41,553,Liam Neeson,Star,Schindler's List,108052
42,146,Ralph Fiennes,Star,Schindler's List,108052
43,1426,Ben Kingsley,Star,Schindler's List,108052
44,1392,Peter Jackson,Director,The Lord of the Rings: The Fellowship of the Ring,120737
45,866058,J.R.R. Tolkien,Writer,The Lord of the Rings: The Fellowship of the Ring,120737
46,909638,Fran Walsh,Writer,The Lord of the Rings: The Fellowship of the Ring,120737
47,101991,Philippa Boyens,Writer,The Lord of the Rings: The Fellowship of the Ring,120737
48,704,Elijah Wood,Star,The Lord of the Rings: The Fellowship of the Ring,120737
