movie_id,title,year,certificate,runtime,genre,gross_us_canada,idx
111161,The Shawshank Redemption,1994,R,142,Epic,28767189,1
111161,The Shawshank Redemption,1994,R,142,Period Drama,28767189,1
111161,The Shawshank Redemption,1994,R,142,Prison Drama,28767189,1
111161,The Shawshank Redemption,1994,R,142,Drama,28767189,1
68646,The Godfather,1972,R,175,Epic,136381073,2
68646,The Godfather,1972,R,175,Gangster,136381073,2
68646,The Godfather,1972,R,175,Tragedy,136381073,2
68646,The Godfather,1972,R,175,Crime,136381073,2
68646,The Godfather,1972,R,175,Drama,136381073,2
468569,The Dark Knight,2008,PG-13,152,Action Epic,534987076,3
468569,The Dark Knight,2008,PG-13,152,Epic,534987076,3
468569,The Dark Knight,2008,PG-13,152,Superhero,534987076,3
468569,The Dark Knight,2008,PG-13,152,Tragedy,534987076,3
468569,The Dark Knight,2008,PG-13,152,Action,534987076,3
468569,The Dark Knight,2008,PG-13,152,Crime,534987076,3
468569,The Dark Knight,2008,PG-13,152,Drama,534987076,3
468569,The Dark Knight,2008,PG-13,152,Thriller,534987076,3
71562,The Godfather Part II,1974,R,202,Epic,47834595,4
71562,The Godfather Part II,1974,R,202,Gangster,47834595,4
71562,The Godfather Part II,1974,R,202,Tragedy,47834595,4
71562,The Godfather Part II,1974,R,202,Crime,47834595,4
71562,The Godfather Part II,1974,R,202,Drama,47834595,4
50083,12 Angry Men,1957,Approved,96,Legal Drama,,5
50083,12 Angry Men,1957,Approved,96,Psychological Drama,,5
50083,12 Angry Men,1957,Approved,96,Crime,,5
50083,12 Angry Men,1957,Approved,96,Drama,,5
167260,The Lord of the Rings: The Return of the King,2003,PG-13,201,Action Epic,381878219,6
167260,The Lord of the Rings: The Return of the King,2003,PG-13,201,Adventure Epic,381878219,6
167260,The Lord of the Rings: The Return of the King,2003,PG-13,201,Epic,381878219,6
167260,The Lord of the Rings: The Return of the King,2003,PG-13,201,Fantasy Epic,381878219,6
167260,The Lord of the Rings: The Return of the King,2003,PG-13,201,Mountain Adventure,381878219,6
167260,The Lord of the Rings: The Return of the King,2003,PG-13,201,Quest,381878219,6
167260,The Lord of the Rings: The Return of the King,2003,PG-13,201,Sword & Sorcery,381878219,6
167260,The Lord of the Rings: The Return of the King,2003,PG-13,201,Tragedy,381878219,6
167260,The Lord of the Rings: The Return of the King,2003,PG-13,201,Adventure,381878219,6
167260,The Lord of the Rings: The Return of the King,2003,PG-13,201,Drama,381878219,6
108052,Schindler's List,1993,R,195,Docudrama,96898818,7
108052,Schindler's List,1993,R,195,Epic,96898818,7
108052,Schindler's List,1993,R,195,Historical Epic,96898818,7
108052,Schindler's List,1993,R,195,Period Drama,96898818,7
108052,Schindler's List,1993,R,195,Prison Drama,96898818,7
108052,Schindler's List,1993,R,195,Tragedy,96898818,7
108052,Schindler's List,1993,R,195,Biography,96898818,7
108052,Schindler's List,1993,R,195,Drama,96898818,7
108052,Schindler's List,1993,R,195,History,96898818,7
120737,The Lord of the Rings: The Fellowship of the Ring,2001,PG-13,178,Action Epic,319372078,8
120737,The Lord of the Rings: The Fellowship of the Ring,2001,PG-13,178,Adventure Epic,319372078,8
